"","INSTNM","ZIP","st_fips","region","CONTROL","DEBT_MDN_SUPP","GRAD_DEBT_MDN","GRAD_DEBT_N","WDRAW_DEBT_MDN","WDRAW_DEBT_N","mn_earn_wne_p10","md_earn_wne_p10","pct10_earn_wne_p10","pct25_earn_wne_p10","pct75_earn_wne_p10","pct90_earn_wne_p10","ADM_RATE","PCTPELL","C150_4"
"1","Alabama A & M University","35762",1,5,1,19484.5,29573,773,15500,2576,35300,31400,6700,16800,47000,70000,0.501,0.6933,0.3171
"2","University of Alabama at Birmingham","35294-0110",1,5,1,16000,20700,2366,12500,3410,46300,40300,10900,24900,57900,84000,0.7223,0.3381,0.4462
"3","Amridge University","36117-3553",1,5,2,11772,22370,57,10339,438,42100,38100,6800,20800,56100,79500,NA,0.6506,0.25
"4","University of Alabama at Huntsville","35899",1,5,1,15744.5,22000,1104,11368,1547,52700,46600,12900,29400,71300,93300,0.6368,0.3176,0.4537
"5","Alabama State University","36104-0271",1,5,1,17508.5,31000,294,16379,3585,30700,27800,7100,15700,42200,55400,0.508,0.7251,0.2621
"6","The University of Alabama","35487-0166",1,5,1,17000,22500,3940,11000,4649,49100,42400,13100,27900,60700,85000,0.4353,0.2294,0.6579
"7","Athens State University","35611",1,5,1,14433.5,17850,1020,10500,928,41500,39700,12600,25300,50400,74000,NA,0.3839,NA
"8","Auburn University at Montgomery","36117-3596",1,5,1,9500,21169,755,7907.5,2492,36700,34800,9500,21400,46300,66300,0.7894,0.41,0.3327
"9","Auburn University","36849",1,5,1,17625,20500,497,17438,5535,52100,45400,13800,29900,66200,91400,0.7,0.1767,0.6628
"10","Birmingham Southern College","35254",1,5,2,18750,25000,111,16000,439,45300,41900,9800,23500,60500,77600,0.6418,0.2412,0.6297
"11","Concordia College Alabama","36701",1,5,2,5500,12875,22,5500,691,24400,21300,5400,13800,33300,44500,NA,0.865,0.0515
"12","South University-Montgomery","36116-1120",1,5,3,6479,30000,3055,6334,32302,35500,29800,7100,16600,45900,67200,0.5533,0.7778,0.1087
"13","Faulkner University","36109-3378",1,5,2,18750,22250,415,16570,2136,43500,37600,9800,22300,56600,80700,0.5802,0.5801,0.3333
"14","Herzing University-Birmingham","35209",1,5,3,9500,19623,2321,8232,6813,44100,42300,12300,26100,58400,77200,0.979,0.7198,0.1136
"15","Huntingdon College","36106-2148",1,5,2,15000,25346.5,270,9500,483,40300,37100,9100,22000,47100,73200,0.6199,0.4056,0.5189
"16","Heritage Christian University","35630-9977",1,5,2,NA,NA,NA,NA,18,43400,32700,NA,NA,NA,NA,NA,0.5833,0
"17","Jacksonville State University","36265",1,5,1,15063,22000,1580,11660,3241,36600,35100,9000,20700,47500,64200,0.8365,0.4605,0.3152
"18","Judson College","36756",1,5,2,12480,17458.5,34,11000,151,33800,30700,9300,19200,42800,57100,0.7435,0.4348,0.3797
"19","University of West Alabama","35470",1,5,1,11750,21121,344,9918,1721,36600,33800,8500,20000,48500,63700,0.6756,0.6354,0.2978
"20","Miles College","35064-2621",1,5,2,12618,30429.5,308,9500,1274,28700,27200,6400,15200,39100,51200,NA,0.8324,0.1954
"21","University of Mobile","36613-2842",1,5,2,18750,24875,376,12500,696,40900,37800,9600,20200,55300,73400,0.8065,0.5459,0.428
"22","University of Montevallo","35115-6000",1,5,1,15500,21500,591,11000,673,36300,35100,9900,23000,46600,62300,0.757,0.3957,0.4342
"23","University of North Alabama","35632-0001",1,5,1,11382,19505,996,8250,1889,39500,36300,9800,22600,50600,68400,0.8764,0.403,0.2739
"24","Oakwood University","35896",1,5,2,19465.5,25500,127,18750,971,38800,33700,7900,18100,49900,75600,0.4355,0.4879,0.3498
"25","Samford University","35229-2240",1,5,2,15603,20834,568,9500,392,57900,45800,12600,27700,74400,124000,0.8258,0.1685,0.7024
"26","Selma University","36701",1,5,2,5500,NA,NA,5500,67,NA,NA,NA,NA,NA,NA,NA,0.7506,0.5566
"27","University of South Alabama","36688-0002",1,5,1,12138.5,22500,2073,8960,4675,45200,38300,10500,23300,56500,78800,0.8726,0.3549,0.3823
"28","Spring Hill College","36608-1791",1,5,2,19062.5,25000,275,12500,509,50000,43800,15500,30900,62300,84300,0.4854,0.3811,0.6095
"29","Southeastern Bible College","35224-2083",1,5,2,19500,26337.5,42,16540.5,110,35000,28800,NA,NA,NA,NA,1,0.6308,0.2941
"30","Stillman College","35403",1,5,2,13915,30750,202,9500,558,27900,24700,5100,13800,38500,51500,0.4647,0.822,0.3447
"31","Talladega College","35160",1,5,2,12750,22920,60,10813,437,27300,25600,4300,12300,38200,53300,NA,0.9943,0.2
"32","Troy University","36082-0001",1,5,1,15829,25000,2841,14250,12536,39500,36600,9700,21900,50900,70800,0.7147,0.4693,0.318
"33","Tuskegee University","36088-1920",1,5,2,19000,29000,327,16919,1232,42500,37100,9200,20600,59900,81200,0.641,0.6056,0.4301
"34","United States Sports Academy","36526-7055",1,5,2,20210,22850,32,17520,101,NA,NA,NA,NA,NA,NA,NA,0.5078,NA
"35","University of Alaska Anchorage","99508",2,8,1,11714,20100,1199,9750,4712,45500,42000,7600,21700,62700,84200,NA,0.2158,0.2562
"36","Alaska Bible College","99588",2,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1098,0.5
"37","University of Alaska Fairbanks","99775-7500",2,8,1,10500,18000,489,9500,2003,43300,38200,6600,21100,57900,81500,NA,0.2037,0.2632
"38","University of Alaska Southeast","99801-8697",2,8,1,9706.5,17334,154,8674.5,632,41700,39500,9000,20200,56600,74300,NA,0.1555,0.2125
"39","Alaska Pacific University","99508",2,8,2,18891,23000,122,12000,185,49300,47400,10800,27800,60400,85000,0.3261,0.3102,0.4615
"40","Charter College-Anchorage","99508",2,8,3,12073,14414,2449,7671,2166,46600,42000,6900,19300,64000,86700,NA,0.8605,0.9375
"41","Everest College-Phoenix","85021-1641",4,6,3,9515,16111,2012,9501,3230,29600,28300,6600,15000,39400,52700,NA,0.9069,0.4123
"42","Collins College","85040",4,6,3,15834,31000,1345,10590.5,3096,29100,25200,4000,12600,40700,56700,NA,0.7191,0.4066
"43","Thunderbird School of Global Management","85306-6000",4,6,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"44","American Indian College of the Assemblies of God Inc","85021",4,6,2,6787.5,NA,NA,7500,47,NA,NA,NA,NA,NA,NA,NA,0.7917,0.625
"45","Carrington College-Phoenix","85051-4063",4,6,3,9500,9500,4790,5016,1496,28400,26200,4000,13200,37600,52500,1,0.4829,0.6841
"46","College America-Flagstaff","86004",4,6,3,19840,24348.5,366,9500,520,NA,NA,NA,NA,NA,NA,NA,0.896,0.6069
"47","Brookline College-Phoenix","85021",4,6,3,9500,9500,3551,6333,3153,24100,22300,3300,11200,33200,44000,NA,0.7592,0.651
"48","Arizona State University","85287",4,6,1,14916,18250,12818,11000,12844,52400,45200,12900,29600,67500,93300,0.8664,0.3791,0.5747
"49","University of Arizona","85721-0066",4,6,1,13000,18125,5131,8750,5310,53100,44400,12100,27700,69900,99400,0.7536,0.3164,0.6137
"50","Southwest University of Visual Arts-Tucson","85716",4,6,3,23500,47186.5,118,14250,195,29000,27500,5800,15400,38300,54100,NA,0.2452,0.8
"51","Brown Mackie College-Tucson","85712",4,6,3,8057,15166,9354,6334,21964,29100,25200,6200,15200,39500,53800,NA,0.8395,0.2222
"52","DeVry University-Arizona","85021-2995",4,6,3,19000,41500,11135,15954.5,80584,50600,46500,11500,27600,68100,91000,0.9188,0.6233,0.3377
"53","Embry-Riddle Aeronautical University-Prescott","86301-3720",4,6,2,16005.5,24313,1594,12000,3911,65500,60900,22400,39400,84500,115500,0.8234,0.3145,0.567
"54","Frank Lloyd Wright School of Architecture","85261-4430",4,6,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.125,NA
"55","Grand Canyon University","85017",4,6,3,9702,21875,1272,9500,24753,53200,45200,11100,28500,72100,96100,0.3683,0.5702,0.3077
"56","Anthem College-Phoenix","85014",4,6,3,8335,9506,2408,4750,3079,31900,29500,5000,14900,42900,59200,NA,0.7663,0.37
"57","ITT Technical Institute-Tucson","85704-5829",4,6,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.6875,0.6967,0.2969
"58","ITT Technical Institute-Tempe","85282",4,6,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.7426,0.6852,0.2833
"59","Dine College","86556",4,6,1,NA,NA,NA,NA,NA,24800,22500,3500,11600,34300,45700,NA,0.1841,0.1017
"60","Northern Arizona University","86011-4132",4,6,1,14426,19498.5,4454,10750,6125,43200,38800,10300,25300,55700,77800,0.6478,0.3783,0.5178
"61","Ottawa University-Phoenix","85021",4,6,2,16935.5,24488.5,442,15624,2572,44900,40700,11200,27000,55300,78100,NA,0.4528,NA
"62","University of Phoenix-Phoenix-Hohokam Campus","85040-1958",4,6,3,14847,31075.5,80144,10141,291021,60500,53400,13300,32300,79600,110100,NA,0.478,0.191
"63","Pima Medical Institute-Tucson","85716",4,6,3,8313,9490,10353,5252,2721,29200,27600,4300,14300,39100,53300,NA,0.4795,0.7347
"64","Prescott College","86301",4,6,2,19850,25000,54,18750,532,35800,35200,7100,17200,47800,63500,0.8255,0.4647,0.2927
"65","Arizona Christian University","85032-7097",4,6,2,14000,21877,79,8750,195,30700,31000,5600,15600,41600,52100,0.5666,0.4357,0.3469
"66","Western International University","85021-2718",4,6,3,10629.5,33375,469,7124.5,1704,57900,52600,15300,33700,76400,99600,NA,0.3425,0.0601
"67","University of Arkansas at Little Rock","72204",5,5,1,13536,21743,1459,11000,4630,38200,34800,9400,20400,49800,70000,0.9624,0.4024,0.2192
"68","University of Arkansas for Medical Sciences","72205-7199",5,5,1,12500,12500,667,8343,202,70800,62400,24500,45000,89100,128000,NA,0.3422,NA
"69","Arkansas Baptist College","72202-6099",5,5,2,9500,33179,142,9500,1547,25400,21100,5900,13500,33300,42400,NA,0.7945,0.0521
"70","Lyon College","72501",5,5,2,11250,22500,135,6500,227,41200,37200,12600,24300,50800,71300,0.6471,0.4716,0.4955
"71","University of Arkansas","72701",5,5,1,15000,21250,2553,11000,3648,49200,43600,13000,27800,63000,87200,0.609,0.2538,0.5902
"72","University of Arkansas at Pine Bluff","71601",5,5,1,11000,24250,647,9021,1826,30700,27400,6700,14800,40900,58000,0.2937,0.7393,0.2297
"73","Arkansas State University-Main Campus","72401",5,5,1,13000,20600,2625,10000,5256,36400,32700,7600,19000,47100,67100,0.6325,0.4934,0.3837
"74","Arkansas Tech University","72801-2222",5,5,1,9900,18000,1571,7393,3077,38200,35000,8800,20700,49800,69600,0.9035,0.4671,0.4283
"75","University of Arkansas at Monticello","71656",5,5,1,7135,17293,431,5500,2134,37400,33600,8800,19000,49300,68500,NA,0.5898,0.28
"76","University of Central Arkansas","72035-0001",5,5,1,12892.5,21000,1735,9500,3251,41300,37100,9900,23900,52900,73600,0.9093,0.3821,0.4006
"77","Central Baptist College","72034",5,5,2,9500,19648,99,7590,363,38800,35700,10300,20600,53800,67100,0.7437,0.4668,0.3558
"78","Harding University","72143",5,5,2,20125,25215,928,12000,1056,43900,38600,9000,23700,55500,77800,0.7218,0.2797,0.6325
"79","Henderson State University","71999-0001",5,5,1,10250,21097,122,9668,2048,38300,35200,10100,23100,48300,67300,0.5889,0.5375,0.3076
"80","Hendrix College","72032-3080",5,5,2,18000,21000,184,13750.5,360,44500,40500,11900,27100,56600,75800,0.825,0.2091,0.7286
"81","John Brown University","72761",5,5,2,18750,21500,501,12489,511,56400,46200,11800,29500,74800,106800,0.7251,0.3579,0.6565
"82","Ouachita Baptist University","71998-0001",5,5,2,12512.5,18850,273,7000,276,41200,37500,8500,22200,53600,77700,0.6375,0.2992,0.6274
"83","University of the Ozarks","72830",5,5,2,9500,24250,105,5500,192,33400,31100,3600,16900,46400,62900,0.8515,0.4159,0.4643
"84","Philander Smith College","72202-3799",5,5,2,15032,32495,168,10000,423,29500,26200,6200,14400,38600,57200,0.68,0.8506,0.3115
"85","Williams Baptist College","72476",5,5,2,10178,19158,136,5500,232,35400,32300,8400,21300,43300,61900,0.585,0.5119,0.3571
"86","Southern Arkansas University Main Campus","71753",5,5,1,10501,16750,518,9250,1253,39300,35900,9800,20500,50400,70600,0.6687,0.5574,0.328
"87","University of Arkansas-Fort Smith","72913-3649",5,5,1,9000,17000,866,7000,2654,33100,29900,6000,16200,44500,62300,0.559,0.5135,0.185
"88","Academy of Art University","94105",6,8,3,14250,31813,905,11936,6711,45500,36100,5900,17700,62100,90600,NA,0.411,0.3358
"89","ITT Technical Institute-Rancho Cordova","95670-6034",6,8,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.7669,0.7219,0.3714
"90","Academy of Chinese Culture and Health Sciences","94612",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","American Baptist Seminary of the West","94704-3029",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","American Film Institute Conservatory","90027-1625",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","American Conservatory Theater","94108-5834",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"94","Art Center College of Design","91103",6,8,2,29031,36998.5,432,16625,299,59500,51700,7600,20900,85000,114700,0.6321,0.464,0.5443
"95","Azusa Pacific University","91702-7000",6,8,2,19990,21969,116,19712,3525,52200,49000,10100,27200,69500,92800,0.5063,0.315,0.6339
"96","Bethesda University of California","92801",6,8,2,7853.5,8900,35,3250,19,NA,NA,NA,NA,NA,NA,0.7548,0.1963,0.6053
"97","Biola University","90639-0001",6,8,2,19250,21687.5,1062,15000,1112,46800,40700,6000,21400,62400,84500,0.7668,0.3297,0.7119
"98","Brooks Institute","93101",6,8,3,26246,30582.5,354,12825,278,36100,29100,3800,12000,51000,73200,0.9833,0.3767,0.451
"99","Phillips Graduate Institute","91311",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","California Institute of Integral Studies","94103",6,8,2,18750,18750,107,18750,37,NA,NA,NA,NA,NA,NA,NA,0.4615,NA
"101","California Baptist University","92504-3297",6,8,2,19500,24000,317,18750,2393,44200,41800,8700,20800,58400,76500,0.7406,0.4429,0.5521
"102","California College of the Arts","94618-1487",6,8,2,23875,29000,328,12500,302,49700,35700,3300,14700,63100,100300,0.7626,0.3777,0.4862
"103","University of California Hastings College of Law","94102-4978",6,8,1,NA,NA,NA,NA,NA,122900,107900,25800,56700,152000,240200,NA,NA,NA
"104","California Institute of Technology","91125",6,8,2,14622,15414,69,NA,12,95000,74000,19900,41400,125400,189000,0.1277,0.1138,0.867
"105","California Lutheran University","91360-2787",6,8,2,16750,20841,596,12625,749,55700,52900,13200,31500,72500,96300,0.4399,0.2711,0.639
"106","California Polytechnic State University-San Luis Obispo","93407",6,8,1,16500,18000,2667,13646,1724,66000,60900,15700,37900,86400,112300,0.3254,0.1946,0.7459
"107","Alliant International University","92131-1799",6,8,2,2000,2000,360,3250,169,58200,51800,12000,29700,79600,103900,NA,0.494,0.2857
"108","California State University-Bakersfield","93311-1099",6,8,1,11395.5,15036,1173,10000,3129,48100,48100,11500,27800,63600,81900,0.6627,0.5977,0.4138
"109","California State University-Stanislaus","95382-0299",6,8,1,12500,NA,NA,12500,3014,45100,44900,9000,25200,58200,75100,0.3356,0.5538,0.4912
"110","California State University-San Bernardino","92407-2397",6,8,1,16609,18593,3376,14167,3099,46500,45500,10000,25100,62600,81000,0.1906,0.5592,0.4456
"111","California State Polytechnic University-Pomona","91768",6,8,1,14445,16500,1597,13395.5,3988,55000,52000,12700,31400,74000,96700,0.4465,0.4149,0.5034
"112","California State University-Chico","95929-0150",6,8,1,13750,15197,2793,11652,2744,50500,45100,11100,26700,66100,91400,0.6222,0.3606,0.5904
"113","California State University-Dominguez Hills","90747-0005",6,8,1,11500,13750,1639,11000,3298,45800,42800,9700,23300,61700,80600,0.5793,0.5558,0.244
"114","California State University-Fresno","93740",6,8,1,13339,15000,2919,11339.5,3048,47200,43200,10000,25300,61100,83800,0.5591,0.5161,0.4945
"115","California State University-Fullerton","92831-3599",6,8,1,12500,14008,5091,10956,3321,49700,46500,10800,27800,65500,88000,0.4515,0.357,0.5005
"116","California State University-East Bay","94542",6,8,1,12639,15683,1751,12000,2618,54800,51300,10800,29300,71600,97900,0.2197,0.3773,0.4329
"117","California State University-Long Beach","90840-0115",6,8,1,13000,14895,5123,11000,4016,50200,46900,11400,27900,67000,88000,0.3444,0.4165,0.5402
"118","California State University-Los Angeles","90032",6,8,1,11000,12026,1449,11000,4331,46800,44900,11700,26700,61900,81700,0.5717,0.5973,0.3647
"119","California State University-Northridge","91330",6,8,1,12084,14895,5086,9952,6079,47500,44200,9800,24700,63700,84800,0.7354,0.4522,0.4609
"120","California State University-Sacramento","95819-2694",6,8,1,14330,16500,2077,13338.5,6764,50300,46500,11900,28800,65200,90700,0.7085,0.4647,0.4163
"121","University of California-Berkeley","94720",6,8,1,15000,15000,3652,15000,3909,78600,62700,16200,38500,97600,149700,0.2143,0.3445,0.9049
"122","University of California-Davis","95616-8678",6,8,1,13291,14511,6375,11000,2969,66200,57100,16900,36700,85500,117500,0.4627,0.4137,0.817
"123","University of California-Irvine","92697",6,8,1,15000,16700,4707,12574,2838,61800,55800,15600,36600,80500,108500,0.4521,0.3664,0.846
"124","University of California-Los Angeles","90095-1405",6,8,1,15000,15000,5823,14833,3140,70200,59200,13900,36700,88600,128000,0.2554,0.3599,0.8996
"125","University of California-Riverside","92521",6,8,1,15657,19000,2613,13802,4631,52600,48700,12600,29700,68500,92800,0.7588,0.5463,0.6678
"126","University of California-San Diego","92093",6,8,1,17001,17734,5449,16129,3148,69700,59600,17800,38200,88100,122700,0.3788,0.4611,0.8532
"127","University of California-San Francisco","94143-0244",6,8,1,NA,NA,13,NA,NA,138800,118900,40300,75600,172100,250000,NA,NA,NA
"128","University of California-Santa Barbara","93106",6,8,1,15000,15500,3567,14600,3369,58900,52000,13500,32400,75800,104800,0.4547,0.3566,0.7978
"129","University of California-Santa Cruz","95064-1011",6,8,1,16446,18500,3943,12611,2083,50100,44600,10900,25300,64400,90100,0.6382,0.3801,0.7337
"130","Institute of Transpersonal Psychology","94303",6,8,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","California Christian College","93703-3599",6,8,2,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,0.9231,0.75,0.3333
"132","California College-San Diego","92108-3824",6,8,3,20000,24982,773,11250,863,40500,40400,NA,NA,NA,NA,NA,0.6062,0.5291
"133","California Institute of the Arts","91355-2397",6,8,2,25312.5,27000,289,13250,131,51800,32500,5400,14900,60300,96900,0.2692,0.3601,0.6522
"134","California Maritime Academy","94590",6,8,1,18750,24000,175,14200,167,83300,81100,18800,50000,110300,141200,0.6907,0.3415,0.6233
"135","California Western School of Law","92101-3046",6,8,2,NA,NA,NA,NA,0,89400,85900,23100,57700,122500,154300,NA,NA,NA
"136","Chapman University","92866",6,8,2,15000,19688.5,1320,12500,3649,52700,51800,10700,30400,68800,90100,0.4485,0.2147,0.7188
"137","Charles R Drew University of Medicine and Science","90059",6,8,2,25250,28000,76,10999,42,71500,63000,7900,23800,107800,136200,NA,0.6281,0
"138","Concordia University-Irvine","92612-3203",6,8,2,15312,20312,325,12000,697,46400,42100,8600,22400,63300,84300,0.7597,0.2805,0.5055
"139","San Diego Christian College","92019-1157",6,8,2,9500,19000,161,7478.5,302,38000,34400,3600,15600,53700,75800,0.3946,0.4607,0.3077
"140","Church Divinity School of the Pacific","94709-1211",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Claremont Graduate University","91711-6160",6,8,2,NA,NA,NA,NA,NA,59800,60800,NA,NA,NA,NA,NA,NA,NA
"142","Claremont McKenna College","91711-6400",6,8,2,11000,11500,91,8688,28,80600,63600,18200,44300,107800,164000,0.1412,0.1427,0.9114
"143","Cogswell College","94089",6,8,3,9500,28650,43,5500,83,59100,48500,NA,NA,NA,NA,0.5411,0.3445,0.4286
"144","Coleman University","92123-1506",6,8,2,16106,18999,316,10399.5,232,52600,49200,8800,28800,72200,93400,1,0.5733,0.6571
"145","Western University of Health Sciences","91766-1854",6,8,2,3500,3500,34,NA,NA,134100,123200,33200,76200,156700,248500,NA,NA,NA
"146","Columbia College Hollywood","91356-1411",6,8,2,25000,28249,104,14751,84,NA,NA,NA,NA,NA,NA,0.6364,0.4341,0.3182
"147","Dell'Arte International School of Physical Theatre","95525-0816",6,8,2,NA,9500,24,NA,NA,NA,NA,NA,NA,NA,NA,0.7778,0.0303,NA
"148","Design Institute of San Diego","92121",6,8,3,28750,41321,86,18000,89,34700,33900,2800,12700,51100,66700,NA,0.41,0.6154
"149","DeVry University-California","91768-2642",6,8,3,19000,41500,11135,15954.5,80584,50600,46500,11500,27600,68100,91000,0.9105,0.6358,0.3158
"150","Dominican University of California","94901-2298",6,8,2,21500,25000,434,12000,335,59100,51400,9700,27000,77500,124200,0.5373,0.3398,0.5551
"151","Dominican School of Philosophy & Theology","94708-1816",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Emperor's College of Traditional Oriental Medicine","90403",6,8,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","FIDM/Fashion Institute of Design & Merchandising-Los Angeles","90015-1421",6,8,3,12000,12000,2938,6500,1872,39900,34500,5300,15500,54000,79100,0.6325,0.3139,0.5435
"154","FIDM/Fashion Institute of Design & Merchandising-Orange County","92614-5610",6,8,3,12000,12000,2938,6500,1872,39900,34500,5300,15500,54000,79100,0.7143,0.4297,NA
"155","Fielding Graduate University","93105-3538",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Five Branches University","95062",6,8,2,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Franciscan School of Theology","94709-1208",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Fresno Pacific University","93702-4709",6,8,2,17993.5,19500,542,15938,1418,41600,39700,7600,20700,55700,73300,0.4455,0.5639,0.5708
"159","Fuller Theological Seminary in California","91182",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Golden Gate University-San Francisco","94105-2968",6,8,2,17683,20000,150,16750,260,78000,64200,18200,39000,94300,122800,NA,0.2993,NA
"161","Graduate Theological Union","94709",6,8,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Harvey Mudd College","91711",6,8,2,21512.5,22344,164,19650,30,85000,78600,24500,45400,106800,146900,0.2099,0.1357,0.841
"163","Holy Names University","94619-1699",6,8,2,16750,25000,106,15188,453,55100,50100,10600,25800,70700,107800,0.6398,0.4972,0.3924
"164","Pacifica Graduate Institute","93013",6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Humboldt State University","95521-8299",6,8,1,14706,19125,1343,11000,2157,39500,36200,7100,19500,53600,73900,0.8274,0.455,0.3973
"166","Humphreys College-Stockton and Modesto Campuses","95207-3896",6,8,2,19000,35478,169,15834,791,32500,31300,4600,14200,46100,62500,NA,0.7598,0.8395
"167","LA College International","90010-1308",6,8,3,9500,20000,325,7558,623,38300,32000,8300,17000,49300,73500,NA,0.6339,0.4444
"168","Interior Designers Institute","92660",6,8,3,20500,27013,71,12667.5,46,38500,25200,NA,NA,NA,NA,NA,0.2696,NA
"169","ITT Technical Institute-San Diego","92123",6,8,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.8151,0.6082,0.2363
"170","ITT Technical Institute-San Dimas","91773",6,8,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.7907,0.6692,0.3727
"171","ITT Technical Institute-Orange","92868",6,8,3,8167,12500,26167,6334,48579,42300,38400,8900,22500,56000,77000,0.8087,0.6901,0.4598
"172","John F Kennedy University","94523-4817",6,8,2,22177,26300.5,68,20830,235,44800,39500,NA,NA,NA,NA,NA,0.6335,NA
"173","American Jewish University","90077-1519",6,8,2,17000,19375,28,16000,31,NA,NA,NA,NA,NA,NA,0.9487,0.303,0.4375
"174","Life Pacific College","91773-3298",6,8,2,14375,25000,92,9500,171,35600,31200,5200,12800,48200,72800,0.9559,0.3379,0.4219
"175","The Art Institute of California-San Diego","92108-4423",6,8,3,9397,23312,863,8926,22141,41800,38200,8900,23100,56100,75000,0.4386,0.5565,0.508
"176","University of La Verne","91750-4401",6,8,2,21342,NA,15,21333,3105,56300,52700,13200,33700,71700,96200,0.5926,0.2505,0.5793
"177","Laguna College of Art and Design","92651",6,8,2,17250,25467.5,88,9917,121,47100,39800,NA,NA,NA,NA,0.3947,0.4289,0.5581
"178","Life Chiropractic College West","94545-2800",6,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Lincoln University","94612-2801",6,8,2,24129,25220,39,NA,12,NA,NA,NA,NA,NA,NA,NA,0.534,1
"180","Southern California Seminary","92019-1108",6,8,2,17000,NA,NA,11050,38,NA,NA,NA,NA,NA,NA,NA,0.5263,0.3333
"181","La Sierra University","92515-8247",6,8,2,12667,24500,175,12000,886,47800,41300,6600,19600,64300,87100,0.4654,0.4234,0.4456
"182","Loma Linda University","92350",6,8,2,17500,18000,734,17119.5,234,80400,72800,22600,47900,98700,133800,NA,0.2686,NA
"183","Southern California University of Health Sciences","90604",6,8,2,8625,NA,0,8625,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","The Master's College and Seminary","91321-1200",6,8,2,14943,18125,190,12452,430,47300,40900,6600,21700,63000,90600,0.6946,0.2875,0.6505
"185","The Art Institute of California-San Francisco","94102-4908",6,8,3,9397,23312,863,8926,22141,41800,38200,8900,23100,56100,75000,0.4169,0.5712,0.3362
"186","Loyola Marymount University","90045-2659",6,8,2,18250,19500,1465,14125,648,63900,55600,17300,35700,81600,113000,0.5344,0.2017,0.7696
"187","Menlo College","94027-4301",6,8,2,15000,21125,114,9500,198,64300,50600,11000,29600,78600,115800,0.379,0.3204,0.3425
"188","Mills College","94613",6,8,2,20500,23750,349,14750,281,47700,39000,6400,21000,59400,81300,0.5704,0.4803,0.57
"189","Monterey Institute of International Studies","93940",6,8,2,16524,17510,407,12358.5,96,81100,53400,13900,33100,84800,165400,NA,0.5333,NA
"190","Mount St. Mary's College","90049-1599",6,8,2,20000,23331,842,12500,729,56700,50200,14300,31800,77900,103700,0.6807,0.6125,0.4758
"191","Musicians Institute","90028",6,8,3,7073,7793.5,194,6762.5,1200,31900,26100,3500,11800,42900,65100,0.987,0.594,0.4675
"192","The National Hispanic University","95127-3823",6,8,3,7887,8006.5,50,7500,195,41600,42900,8200,19600,61000,70500,0.9861,0.6196,0.1818
"193","National University","92037-1011",6,8,2,15925,25600,1497,12269.5,3282,55000,54800,11200,32900,72200,91100,NA,0.2073,0.5733
"194","Newschool of Architecture and Design","92101",6,8,3,27500,NA,18,25750,191,NA,NA,NA,NA,NA,NA,0.9,0.5491,0.7273
"195","Notre Dame de Namur University","94002-1908",6,8,2,18750,24500,249,16312.5,612,55400,51300,12100,29700,73900,96200,0.7099,0.3683,0.5139
"196","Occidental College","90041-3392",6,8,2,16500,18000,405,9050,113,55000,50100,11000,29700,69100,94200,0.3871,0.2371,0.8349
"197","Otis College of Art and Design","90045-3505",6,8,2,24000,27000,281,16750,251,49700,42000,8400,21000,69900,101500,0.511,0.4603,0.5205
